time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0.816058,0.091914,-0.113479,-0.123371,-0.056447,0.973577,0.282867,-0.334813,0.155765,-0.117525,0.012478,0.216970,0.157790,0.000000,0.372459,-0.206946,-0.315520,0.503971,0.137312,-0.093420,0.000000,-0.300373,0.068497,0.136887
0.826010,0.087406,-0.117693,-0.128357,-0.040966,0.970515,0.283904,-0.355386,0.157959,-0.104010,0.000652,0.218403,0.157401,0.000000,0.381153,-0.206460,-0.325000,0.432306,0.137247,-0.057141,0.000000,-0.296461,0.071523,0.142168
0.835962,0.082550,-0.121655,-0.134076,-0.025521,0.967338,0.284843,-0.372749,0.158649,-0.094073,0.000000,0.220961,0.160914,0.000000,0.389256,-0.205686,-0.332997,0.363242,0.134497,-0.021622,0.000000,-0.292697,0.074526,0.147883
0.845913,0.079767,-0.123523,-0.139253,-0.009901,0.964314,0.285485,-0.390392,0.156106,-0.086704,0.000000,0.224203,0.165730,0.000000,0.394731,-0.201614,-0.337460,0.299865,0.131604,0.005825,0.000000,-0.290994,0.075379,0.152303
0.855865,0.078733,-0.123917,-0.144924,0.005892,0.961458,0.286004,-0.407966,0.150741,-0.078691,0.000000,0.228033,0.170911,0.000000,0.397522,-0.196115,-0.341349,0.244779,0.128184,0.032902,0.000000,-0.291066,0.074286,0.156653
0.865817,0.078505,-0.123711,-0.151043,0.021872,0.958670,0.286476,-0.424533,0.143803,-0.070174,0.000000,0.232273,0.174312,0.000000,0.400576,-0.190910,-0.344609,0.203803,0.122882,0.052908,0.000000,-0.291866,0.072407,0.160968
0.875769,0.080429,-0.121640,-0.158445,0.038037,0.956196,0.286936,-0.440969,0.133419,-0.061425,0.003434,0.236138,0.176407,0.000000,0.400162,-0.184068,-0.342497,0.173235,0.111819,0.061291,0.000000,-0.294752,0.067667,0.165866
0.885721,0.081338,-0.119852,-0.164801,0.054362,0.953772,0.287172,-0.452322,0.122899,-0.062105,0.018774,0.241021,0.185999,0.000000,0.396904,-0.174581,-0.314677,0.144933,0.090282,0.032405,0.000000,-0.296411,0.063771,0.169643
0.895673,0.081243,-0.120008,-0.170990,0.070999,0.951338,0.287467,-0.460765,0.113845,-0.065939,0.038438,0.245113,0.199281,0.000000,0.398563,-0.171338,-0.295488,0.137277,0.075613,0.007527,0.000000,-0.296732,0.062088,0.173562
0.905625,0.080228,-0.120889,-0.176195,0.087889,0.948948,0.287708,-0.466633,0.105379,-0.071412,0.061122,0.246144,0.212719,0.000000,0.409192,-0.175174,-0.304231,0.158358,0.077849,0.010556,0.000000,-0.295766,0.061618,0.176403
0.915577,0.077834,-0.123548,-0.181739,0.105105,0.946583,0.288213,-0.469111,0.097674,-0.082601,0.088157,0.245456,0.235995,0.000000,0.427921,-0.190176,-0.349821,0.208636,0.102392,0.059367,0.000000,-0.292820,0.062842,0.180077
0.925529,0.077975,-0.122658,-0.187575,0.122815,0.944643,0.288716,-0.474762,0.086123,-0.081531,0.112724,0.236643,0.240844,0.000000,0.433318,-0.195136,-0.365541,0.247188,0.109924,0.061218,0.000000,-0.291020,0.059356,0.183107
0.935481,0.078847,-0.118382,-0.193795,0.141035,0.942905,0.289360,-0.479851,0.070743,-0.080164,0.138314,0.223531,0.243998,0.000000,0.433672,-0.194564,-0.370797,0.285558,0.111224,0.051664,0.000000,-0.288170,0.051340,0.185460
0.945433,0.081102,-0.111559,-0.197612,0.159547,0.941599,0.289624,-0.484257,0.053053,-0.082312,0.165779,0.203612,0.246205,0.000000,0.430560,-0.187196,-0.364282,0.320417,0.097633,0.028566,0.000000,-0.285920,0.040979,0.185053
0.955385,0.084564,-0.101480,-0.197169,0.178056,0.940882,0.289189,-0.486658,0.032983,-0.089581,0.196323,0.176514,0.248148,0.000000,0.426588,-0.172080,-0.350248,0.348253,0.063893,-0.009458,0.000000,-0.284881,0.028243,0.179767
0.965337,0.087685,-0.088457,-0.193698,0.196461,0.940691,0.288356,-0.485010,0.011421,-0.097843,0.230498,0.140957,0.244750,0.000000,0.423372,-0.152465,-0.332551,0.371522,0.033832,-0.050911,0.000000,-0.283523,0.013121,0.170530
0.975288,0.092137,-0.073510,-0.190152,0.215084,0.941174,0.287480,-0.481134,-0.011670,-0.103078,0.268201,0.094278,0.231089,0.000000,0.418452,-0.132288,-0.317649,0.398709,0.020426,-0.085194,0.000000,-0.283020,-0.004282,0.160780
0.985240,0.095868,-0.059732,-0.187785,0.233825,0.942000,0.286868,-0.471578,-0.032851,-0.103580,0.312063,0.035494,0.204895,0.000000,0.414562,-0.114665,-0.302655,0.432245,0.019354,-0.118889,0.000000,-0.281637,-0.020722,0.152929
0.995192,0.099726,-0.046083,-0.186710,0.252472,0.943135,0.286396,-0.455854,-0.053654,-0.099842,0.364165,-0.035041,0.167086,0.000000,0.408900,-0.095408,-0.286397,0.463349,0.027249,-0.150511,0.000000,-0.280676,-0.037358,0.146753
1.005144,0.103138,-0.031756,-0.186579,0.270819,0.944440,0.285855,-0.433304,-0.074625,-0.090759,0.426253,-0.107648,0.118673,0.000000,0.400286,-0.072643,-0.269216,0.485865,0.039138,-0.176007,0.000000,-0.279784,-0.054428,0.141711
1.015096,0.106496,-0.018732,-0.186895,0.288711,0.945896,0.285223,-0.405424,-0.092640,-0.074606,0.498546,-0.167425,0.057139,0.000000,0.388102,-0.050366,-0.255479,0.501468,0.054653,-0.197652,0.000000,-0.280043,-0.069647,0.137275
